nomen-verb-verbindung,bedeutet,case,meaning in german,meaning in english,example1,example2
"sich in Acht _____",sich in Acht nehmen vor,Dativ,"vorsichtig sein, sich hüten vor etwas/jemandem","to be careful of, to beware of","Man muss sich vor Betrügern in Acht nehmen.",""
"jdm. Achtung _____",jdm. Achtung entgegenbringen,Dativ,"jemandem Respekt zeigen","to show respect to someone","Sie bringt ihren Eltern große Achtung entgegen.",""
"die Absicht _____",die Absicht haben,Akkusativ,"etwas planen oder vorhaben","to have the intention to","Er hat die Absicht, morgen früh abzureisen.",""
"eine Änderung _____",eine Änderung vornehmen,Akkusativ,"etwas verändern oder anpassen","to make a change","Wir müssen noch einige Änderungen am Vertrag vornehmen.",""
"Anerkennung _____",Anerkennung finden,Nominativ,"Lob oder Wertschätzung erhalten","to gain recognition","Seine Arbeit fand endlich die verdiente Anerkennung.",""
"eine Anforderung _____",eine Anforderung erfüllen,Akkusativ,"eine Bedingung oder Erwartung erfüllen","to meet a requirement","Der Bewerber erfüllt alle Anforderungen für die Stelle.",""
"eine Anfrage _____",eine Anfrage stellen an,Akkusativ,"jemanden um Information bitten","to make an inquiry to","Er stellte eine Anfrage an die Verwaltung.",""
"ein Angebot _____",ein Angebot machen,Akkusativ,"etwas zum Kauf oder zur Nutzung anbieten","to make an offer","Das Unternehmen machte den Kunden ein unwiderstehliches Angebot.",""
"ein Angebot _____",ein Angebot unterbreiten,Akkusativ,"einen Vorschlag machen","to submit an offer","Sie unterbreitete dem Kunden ein attraktives Angebot.",""
"in Angriff _____",in Angriff nehmen,Akkusativ,"mit etwas anfangen","to tackle, to start working on","Wir müssen das Projekt bald in Angriff nehmen.",""
"Angst _____",Angst machen,Dativ,"jemanden verängstigen","to frighten someone","Der Hund macht den Kindern Angst.",""
"ein Anliegen _____",ein Anliegen sein,Nominativ,"etwas, was jemandem wichtig ist","to be a concern","Es ist mir ein Anliegen, Ihnen persönlich zu danken.",""
"einen Anspruch _____",einen Anspruch haben auf,Akkusativ,"ein Recht auf etwas haben","to be entitled to","Sie hat Anspruch auf Urlaub.",""
"in Anspruch _____",in Anspruch nehmen,Akkusativ,"etwas nutzen oder beanspruchen","to make use of, to claim","Diese Aufgabe nimmt viel Zeit in Anspruch.",""
"einen Antrag _____",einen Antrag stellen auf,Akkusativ,"offiziell um etwas bitten","to apply for","Er stellte einen Antrag auf Förderung.",""
"zur Anwendung _____",zur Anwendung kommen,Dativ,"genutzt oder eingesetzt werden","to be applied, to be used","Diese Methode kommt häufig zur Anwendung.",""
"an die Arbeit _____",an die Arbeit gehen,Akkusativ,"mit der Arbeit beginnen","to get to work","Nach dem Frühstück gehe ich an die Arbeit.",""
"gute Arbeit _____",gute Arbeit leisten,Akkusativ,"qualitativ hochwertige Ergebnisse erzielen","to do good work","Das Team hat bei diesem Projekt gute Arbeit geleistet.",""
"Arbeit _____",Arbeit machen,Akkusativ,"Aufwand verursachen","to cause effort","Das macht viel Arbeit.",""
"sich an die Arbeit _____",sich an die Arbeit machen,Akkusativ,"anfangen zu arbeiten","to get down to work","Ich mache mich sofort an die Arbeit.",""
"in Arbeit _____",in Arbeit sein,Dativ,"gerade bearbeitet werden","to be in progress","Der Auftrag ist noch in Arbeit.",""
"zu der Auffassung _____",zu der Auffassung gelangen,Dativ,"zu einer Meinung oder Schlussfolgerung kommen","to come to the conclusion","Nach langer Überlegung gelangte sie zu der Auffassung, dass er recht hatte.",""
"die Aufmerksamkeit _____",die Aufmerksamkeit gewinnen,Akkusativ,"Interesse oder Beachtung erregen","to gain attention","Mit dieser Aktion gewann er die Aufmerksamkeit der Medien.",""
"einen Auftrag _____",einen Auftrag geben,Akkusativ,"jemanden mit einer Aufgabe beauftragen","to give an order, to commission","Sie gab mir den Auftrag, die Dokumente zu übersetzen.",""
"einen Auftrag _____",einen Auftrag erteilen,Akkusativ,"jemanden mit einer Aufgabe betrauen","to commission, to instruct","Der Kunde erteilte uns den Auftrag für das Projekt.",""
"zum Ausdruck _____",zum Ausdruck bringen,Dativ,"etwas äußern oder mitteilen","to express","Er brachte seine Gedanken klar zum Ausdruck.",""
"zur Auswahl _____",zur Auswahl stehen,Dativ,"als Option verfügbar sein","to be available for selection","Verschiedene Modelle stehen zur Auswahl.",""
"Auswirkungen _____",Auswirkungen haben auf,Akkusativ,"einen Effekt oder Einfluss haben","to have effects on","Die Entscheidung hat Auswirkungen auf alle Mitarbeiter.",""
"Beachtung _____",Beachtung finden,Akkusativ,"Aufmerksamkeit erregen","to find attention, to be noticed","Sein Vorschlag fand allgemeine Beachtung.",""
"einen Beitrag _____",einen Beitrag leisten,Akkusativ,"helfen oder unterstützen","to make a contribution","Sie leistet einen wichtigen Beitrag zum Team.",""
"einen Beruf _____",einen Beruf ausüben,arbeiten als,Akkusativ,"beruflich tätig sein","to practice a profession","Er übt den Beruf des Lehrers aus.",""
"einen Beruf _____",einen Beruf ergreifen,anfangen in einem Beruf,Akkusativ,"sich für einen Beruf entscheiden","to take up a profession","Nach dem Studium ergriff sie den Beruf der Ärztin.",""
"Bescheid _____",Bescheid geben,informieren,Akkusativ,"jemandem Informationen mitteilen","to inform, to let know","Gib mir bitte Bescheid, wenn du ankommst.",""
"Bescheid _____",Bescheid sagen,informieren,Akkusativ,"jemandem etwas mitteilen","to inform, to tell","Sag mir bitte Bescheid, wenn du fertig bist.",""
"Bescheid _____",Bescheid wissen über,informiert sein,Akkusativ,"Kenntnis haben von etwas","to know about","Er weiß über die aktuellen Entwicklungen Bescheid.",""
"eine Bestellung _____",eine Bestellung aufgeben,bestellen,Akkusativ,"etwas ordern","to place an order","Sie gab eine Bestellung für neue Büromöbel auf.",""
"in Betracht _____",in Betracht kommen,möglich sein,Akkusativ,"als Option in Frage kommen","to be considered, to be an option","Für diese Position kommen mehrere Bewerber in Betracht.",""
"in Betracht _____",in Betracht ziehen,erwägen,Akkusativ,"etwas überlegen oder berücksichtigen","to consider, to take into consideration","Wir ziehen einen Umzug in Betracht.",""
"im Betrieb _____",im Betrieb sein,funktionieren,Dativ,"in Funktion oder aktiv sein","to be in operation","Die Maschine ist seit gestern wieder im Betrieb.",""
"Bezug _____",Bezug nehmen auf,sich beziehen auf,Akkusativ,"sich auf etwas beziehen","to refer to","In seiner Rede nahm er Bezug auf frühere Ereignisse.",""
"unter Beweis _____",unter Beweis stellen,beweisen,Dativ,"etwas demonstrieren oder zeigen","to prove, to demonstrate","Er stellte sein Können unter Beweis.",""
"zur Diskussion _____",zur Diskussion stehen,diskutiert werden,Dativ,"aktuell besprochen werden","to be under discussion","Dieser Plan steht noch zur Diskussion.",""
"unter Druck _____",unter Druck stehen,gestresst sein,Dativ,"Stress oder Belastung ausgesetzt sein","to be under pressure","Vor der Prüfung stand sie sehr unter Druck.",""
"Eindruck _____",Eindruck machen auf,beeindrucken,Akkusativ,"jemanden beeindrucken","to make an impression on","Seine Rede machte großen Eindruck auf das Publikum.",""
"Einfluss _____",Einfluss nehmen auf,beeinflussen,Akkusativ,"etwas beeinflussen","to influence, to have an impact on","Sie versuchte, Einfluss auf die Entscheidung zu nehmen.",""
"zu Ende _____",zu Ende bringen,abschließen,Dativ,"etwas fertigstellen","to complete, to finish","Wir müssen das Projekt bis nächste Woche zu Ende bringen.",""
"einen Entschluss _____",einen Entschluss fassen,entscheiden,Akkusativ,"eine Entscheidung treffen","to make a decision","Nach langer Überlegung fasste er den Entschluss zu kündigen.",""
"eine Entscheidung _____",eine Entscheidung treffen,entscheiden,Akkusativ,"sich für etwas entscheiden","to make a decision","Sie musste eine schwierige Entscheidung treffen.",""
"in Erfüllung _____",in Erfüllung gehen,wahr werden,Dativ,"verwirklicht werden","to come true, to be fulfilled","Sein Wunsch ging endlich in Erfüllung.",""
"die Erlaubnis _____",die Erlaubnis erteilen,erlauben,Akkusativ,"jemandem etwas gestatten","to give permission","Der Lehrer erteilte die Erlaubnis, früher zu gehen.",""
"einen Fehler _____",einen Fehler begehen,einen Fehler machen,Akkusativ,"etwas falsch machen","to make a mistake","Er hat einen schwerwiegenden Fehler begangen.",""
"zur Folge _____",zur Folge haben,resultieren in,Dativ,"ein bestimmtes Ergebnis haben","to result in, to lead to","Der Unfall hatte schwere Verletzungen zur Folge.",""
"eine Forderung _____",eine Forderung stellen,fordern,Akkusativ,"etwas verlangen","to make a demand","Die Gewerkschaft stellte hohe Forderungen.",""
"einer Frage _____",einer Frage nachgehen,untersuchen,Dativ,"etwas untersuchen","to pursue a question, to investigate","Die Polizei geht dieser Frage nach.",""
"außer Frage _____",außer Frage stehen,unbestreitbar sein,Dativ,"zweifellos sein","to be beyond question","Seine Kompetenz steht außer Frage.",""
"eine Frage _____",eine Frage stellen,fragen,Akkusativ,"eine Frage formulieren","to ask a question","Sie stellte eine interessante Frage.",""
"sich Gedanken _____",sich Gedanken machen über,nachdenken über,Akkusativ,"über etwas nachdenken","to think about, to worry about","Ich mache mir Gedanken über die Zukunft.",""
"in Gefahr _____",in Gefahr sein,gefährdet sein,Dativ,"bedroht sein","to be in danger","Das Projekt ist in Gefahr zu scheitern.",""
"die Gelegenheit _____",die Gelegenheit haben zu,die Chance haben,Akkusativ,"die Möglichkeit haben, etwas zu tun","to have the opportunity to","Sie hatte die Gelegenheit, ins Ausland zu reisen.",""
