"verb","complete verb","case","meaning in german","meaning in english","example1","example2"
"abhängen","abhängen von","Dativ","abhängig sein","to depend on","Ob wir fahren, hängt vom Wetter ab.","Das Ergebnis hängt von deiner Entscheidung ab."
"achten","achten auf","Akkusativ","beachten","to pay attention to","Bitte achte auf den neuen Mantel.","Achte auf die Details in diesem Bild."
"anfangen","anfangen mit","Dativ","beginnen","to start with","Ich fange mit der Übung an.","Wir fangen mit dem Projekt nächste Woche an."
"ankommen","ankommen auf","Akkusativ","abhängig sein","to depend on","Es kommt auf den richtigen Preis an.","Es kommt auf deine Antwort an."
"antworten","antworten auf","Akkusativ","reagieren","to respond to","Bitte antworten Sie heute auf den Brief.","Er antwortete nicht auf meine Frage."
"ärgern","sich ärgern über","Akkusativ","verärgert sein","to be annoyed about","Wir ärgern uns über den Regen.","Sie ärgert sich über die Verspätung."
"aufhören","aufhören mit","Dativ","beenden","to stop with","Er hört um 17.00 Uhr mit der Arbeit auf.","Hör bitte mit dem Lärm auf."
"aufpassen","aufpassen auf","Akkusativ","Acht geben","to watch over","Ein Babysitter passt auf kleine Kinder auf.","Pass auf deine Tasche auf."
"aufregen","sich aufregen über","Akkusativ","sich ärgern","to get upset about","Deutsche regen sich über Unpünktlichkeit auf.","Er regte sich über die Kritik auf."
"ausgeben","ausgeben für","Akkusativ","Geld ausgeben","to spend money on","Manche geben viel Geld für Schuhe aus.","Sie gibt viel Geld für Bücher aus."
"bedanken","sich bedanken bei","Dativ","Dank aussprechen","to thank someone","Ich bedanke mich herzlich bei dir.","Er bedankte sich bei seinem Lehrer."
"bedanken","sich bedanken für","Akkusativ","Dank aussprechen","to thank for something","Martin bedankt sich für das Geschenk.","Sie bedankte sich für die Hilfe."
"beginnen","beginnen mit","Dativ","starten","to begin with","Wir beginnen pünktlich mit dem Deutschkurs.","Sie begann mit dem Lied."
"bemühen","sich bemühen um","Akkusativ","sich anstrengen","to strive for","Karla bemüht sich um eine Arbeit.","Er bemüht sich um eine Lösung."
